agent_id,agent_name,region_id,years_experience
A001,Agent 1,R05,7
A002,Agent 2,R05,9
A003,Agent 3,R05,10
A004,Agent 4,R05,1
A005,Agent 5,R04,11
A006,Agent 6,R01,3
A007,Agent 7,R06,15
A008,Agent 8,R03,13
A009,Agent 9,R04,18
A010,Agent 10,R03,15
A011,Agent 11,R02,7
A012,Agent 12,R06,19
A013,Agent 13,R05,8
A014,Agent 14,R04,7
A015,Agent 15,R03,18
A016,Agent 16,R05,8
A017,Agent 17,R04,2
A018,Agent 18,R03,9
A019,Agent 19,R03,16
A020,Agent 20,R02,4
A021,Agent 21,R01,9
A022,Agent 22,R04,3
A023,Agent 23,R06,14
A024,Agent 24,R01,10
A025,Agent 25,R06,7
A026,Agent 26,R05,5
A027,Agent 27,R02,11
A028,Agent 28,R04,13
A029,Agent 29,R01,18
A030,Agent 30,R05,9
A031,Agent 31,R05,4
A032,Agent 32,R03,16
A033,Agent 33,R01,12
A034,Agent 34,R06,14
A035,Agent 35,R03,2
A036,Agent 36,R06,6
A037,Agent 37,R05,15
A038,Agent 38,R05,16
A039,Agent 39,R05,9
A040,Agent 40,R02,16
