property_id,listed_date,asking_price
P00001,2023-09-17,3993289.0
P00002,2023-10-14,3032695.0
P00003,2024-02-05,8704390.0
P00004,2023-05-12,5668871.0
P00005,2023-09-02,8571632.0
P00006,2023-10-07,1806928.0
P00007,2023-03-02,5445608.0
P00008,2024-01-21,8790690.0
P00009,2023-05-04,4159792.0
P00010,2023-01-02,1780861.0
P00011,2024-02-01,10950691.0
P00012,2023-07-11,6803059.0
P00013,2024-04-03,2856872.0
P00014,2023-12-09,7204665.0
P00015,2023-01-19,5248872.0
P00016,2024-03-19,2658076.0
P00017,2023-01-27,6752689.0
P00018,2023-07-20,6980212.0
P00019,2024-03-14,6131886.0
P00020,2023-09-16,2461397.0
P00021,2023-09-03,1298823.0
P00022,2023-05-22,4845450.0
P00023,2023-10-11,5437258.0
P00024,2023-07-07,5809411.0
P00025,2024-08-27,8420588.0
P00026,2024-03-15,4097096.0
P00027,2024-08-03,4679378.0
P00028,2023-08-04,1948031.0
P00029,2024-08-30,6494302.0
P00030,2023-06-28,2698906.0
P00031,2023-07-17,8371442.0
P00032,2023-07-10,1677955.0
P00033,2024-01-12,7179574.0
P00034,2024-01-27,3680354.0
P00035,2023-02-11,2849477.0
P00036,2023-12-25,3680267.0
P00037,2024-08-31,3063032.0
P00038,2023-09-18,8005887.0
P00039,2024-03-23,2043429.0
P00040,2024-02-09,7250800.0
P00041,2024-09-18,12524024.0
P00042,2024-02-15,3972338.0
P00043,2023-10-28,1538003.0
P00044,2023-01-09,2795256.0
P00045,2024-05-28,4096940.0
P00046,2023-08-05,3291854.0
P00047,2024-08-14,1724848.0
P00048,2023-06-06,5559309.0
P00049,2023-10-07,5213333.0
P00050,2024-06-13,2669126.0
P00051,2023-04-07,2289340.0
P00052,2023-06-26,6049831.0
P00053,2024-05-21,2157817.0
P00054,2023-07-22,4824734.0
P00055,2024-09-03,9602061.0
P00056,2023-12-10,4197943.0
P00057,2024-06-11,4135302.0
P00058,2023-12-16,6295094.0
P00059,2023-01-29,3499666.0
P00060,2024-06-02,3017459.0
P00061,2023-09-26,4808605.0
P00062,2023-09-05,4020412.0
P00063,2024-04-15,5613392.0
P00064,2023-06-29,1974554.0
P00065,2023-10-01,1354614.0
P00066,2024-01-24,3363910.0
P00067,2024-01-15,6375523.0
P00068,2024-04-10,8249718.0
P00069,2023-02-22,7388208.0
P00070,2024-09-26,3115338.0
P00071,2024-01-24,5778983.0
P00072,2024-01-31,4395407.0
P00073,2024-07-17,4990495.0
P00074,2023-11-10,3495109.0
P00075,2023-01-20,2682318.0
P00076,2023-03-27,1002501.0
P00077,2024-08-28,8325868.0
P00078,2024-09-22,7703948.0
P00079,2023-02-23,2317965.0
P00080,2024-03-13,4146992.0
P00081,2024-02-27,4653671.0
P00082,2023-04-16,9351886.0
P00083,2024-05-18,11595616.0
P00084,2023-10-21,4781697.0
P00085,2023-05-28,7275802.0
P00086,2023-12-25,11737629.0
P00087,2024-08-01,5150405.0
P00088,2023-05-19,4209513.0
P00089,2024-01-31,10574730.0
P00090,2024-04-13,4422140.0
P00091,2024-02-04,983990.0
P00092,2024-02-20,4913171.0
P00093,2024-04-08,9890741.0
P00094,2023-05-30,5588987.0
P00095,2023-03-06,6332593.0
P00096,2024-09-24,5236668.0
P00097,2023-07-24,2105110.0
P00098,2024-08-29,13470397.0
P00099,2023-06-21,1036356.0
P00100,2023-06-19,4830488.0
P00101,2023-01-16,1504820.0
P00102,2023-10-10,5089970.0
P00103,2024-08-26,6841368.0
P00104,2024-07-25,6585785.0
P00105,2023-07-14,4182310.0
P00106,2023-09-17,8172477.0
P00107,2024-03-03,6152869.0
P00108,2024-09-02,10054648.0
P00109,2024-01-22,2561857.0
P00110,2023-05-09,7174294.0
P00111,2023-08-16,6654151.0
P00112,2024-04-07,2954184.0
P00113,2023-01-16,5219325.0
P00114,2024-01-19,1021575.0
P00115,2024-05-06,7518064.0
P00116,2023-08-10,4563574.0
P00117,2023-12-11,5438588.0
P00118,2024-04-03,8706113.0
P00119,2024-01-16,1853764.0
P00120,2023-01-16,4141816.0
P00121,2024-01-10,6828598.0
P00122,2023-05-28,2697781.0
P00123,2024-04-17,7237111.0
P00124,2023-06-16,4016549.0
P00125,2024-09-17,5617739.0
P00126,2023-03-17,4855016.0
P00127,2024-07-23,5090837.0
P00128,2023-01-22,6708917.0
P00129,2024-03-12,4146470.0
P00130,2023-08-14,2014403.0
P00131,2023-05-05,5367924.0
P00132,2023-05-20,6100924.0
P00133,2023-01-25,7895206.0
P00134,2023-03-26,7464736.0
P00135,2023-09-08,5460814.0
P00136,2023-04-11,7567777.0
P00137,2024-09-10,1737844.0
P00138,2024-06-11,2429692.0
P00139,2023-10-29,1549052.0
P00140,2023-03-02,9054500.0
P00141,2024-09-22,2085119.0
P00142,2024-04-08,5383695.0
P00143,2023-04-28,7982824.0
P00144,2023-02-04,6335592.0
P00145,2024-01-31,5487802.0
P00146,2023-01-26,1078029.0
P00147,2024-01-28,6337343.0
P00148,2023-10-10,4347194.0
P00149,2024-07-16,7059399.0
P00150,2023-09-02,7942805.0
P00151,2023-10-14,4875188.0
P00152,2023-12-15,3646792.0
P00153,2024-09-20,2124631.0
P00154,2024-03-24,5114330.0
P00155,2024-03-03,3643512.0
P00156,2023-07-17,7177712.0
P00157,2023-11-05,4878496.0
