property_id,region_id,property_type,size_m2,rooms,year_built,has_parking
P00001,R06,Apartment,183,3,2008,1
P00002,R03,Duplex,95,3,2004,0
P00003,R06,Penthouse,234,2,1987,0
P00004,R02,Apartment,239,1,1993,0
P00005,R02,Studio,272,2,2022,1
P00006,R05,Detached House,78,1,2021,0
P00007,R04,Duplex,193,4,1971,1
P00008,R01,Detached House,275,1,2008,1
P00009,R05,Penthouse,233,2,1996,1
P00010,R02,Penthouse,94,5,1970,1
P00011,R05,Detached House,254,3,2004,0
P00012,R01,Penthouse,141,4,1971,0
P00013,R05,Apartment,157,4,1987,1
P00014,R05,Studio,174,2,2007,0
P00015,R05,Studio,225,4,2013,0
P00016,R04,Duplex,68,2,1992,0
P00017,R03,Detached House,169,4,2013,1
P00018,R05,Detached House,236,4,2015,1
P00019,R02,Penthouse,171,5,1994,0
P00020,R05,Studio,105,5,1979,0
P00021,R04,Duplex,53,1,2005,1
P00022,R03,Apartment,171,2,1970,0
P00023,R04,Detached House,208,3,2018,1
P00024,R04,Detached House,171,2,1990,1
P00025,R01,Detached House,275,4,2011,1
P00026,R01,Penthouse,184,5,2009,1
P00027,R02,Duplex,161,2,1995,1
P00028,R01,Apartment,53,5,2022,0
P00029,R03,Duplex,174,5,2013,1
P00030,R05,Studio,80,5,2017,1
P00031,R04,Studio,213,1,1975,1
P00032,R03,Studio,78,2,1996,1
P00033,R06,Apartment,257,1,2021,0
P00034,R04,Studio,112,1,2013,1
P00035,R01,Detached House,144,1,1994,0
P00036,R05,Penthouse,74,3,1973,0
P00037,R04,Studio,90,1,1985,1
P00038,R04,Studio,261,2,2000,1
P00039,R04,Detached House,108,5,2004,1
P00040,R04,Detached House,163,5,2019,0
P00041,R01,Penthouse,275,5,1975,0
P00042,R04,Apartment,189,1,1991,1
P00043,R05,Studio,49,4,1984,1
P00044,R02,Apartment,125,4,2021,1
P00045,R04,Penthouse,132,1,1978,1
P00046,R01,Studio,106,5,1981,1
P00047,R03,Apartment,97,3,1986,1
P00048,R03,Duplex,160,5,1975,0
P00049,R06,Detached House,130,1,2004,1
P00050,R02,Apartment,110,4,1998,1
P00051,R02,Studio,139,1,2000,1
P00052,R03,Penthouse,122,5,2018,1
P00053,R06,Studio,94,4,1993,1
P00054,R06,Studio,148,1,1986,0
P00055,R01,Penthouse,266,2,1990,1
P00056,R02,Duplex,161,2,2013,1
P00057,R05,Detached House,183,1,1998,1
P00058,R01,Penthouse,276,1,1979,0
P00059,R06,Apartment,187,5,2007,0
P00060,R02,Studio,93,5,2010,1
P00061,R06,Detached House,135,3,1983,1
P00062,R02,Studio,157,5,2000,1
P00063,R03,Duplex,153,4,2000,0
P00064,R04,Duplex,75,1,1979,1
P00065,R01,Duplex,65,4,1970,1
P00066,R04,Apartment,123,1,2008,0
P00067,R04,Apartment,259,5,2003,0
P00068,R05,Duplex,212,2,2008,1
P00069,R06,Detached House,242,1,1990,0
P00070,R04,Apartment,81,2,1997,1
P00071,R03,Detached House,139,4,2023,1
P00072,R03,Duplex,179,5,1982,1
P00073,R03,Detached House,144,3,2005,0
P00074,R05,Apartment,140,1,1977,1
P00075,R02,Studio,126,5,1973,1
P00076,R02,Apartment,52,4,2021,1
P00077,R03,Detached House,245,3,1977,1
P00078,R01,Apartment,263,3,2005,1
P00079,R01,Studio,59,5,1997,1
P00080,R01,Penthouse,139,2,2013,1
P00081,R05,Duplex,164,1,1999,1
P00082,R05,Detached House,228,1,2007,0
P00083,R05,Detached House,276,4,2018,0
P00084,R03,Apartment,139,5,2014,1
P00085,R05,Detached House,219,4,2008,0
P00086,R01,Penthouse,264,4,1978,1
P00087,R06,Apartment,239,2,1979,1
P00088,R04,Penthouse,109,3,1996,1
P00089,R06,Duplex,236,1,2005,0
P00090,R01,Studio,138,2,2006,1
P00091,R03,Studio,44,4,2012,0
P00092,R05,Duplex,222,5,1975,1
P00093,R03,Studio,240,5,1979,1
P00094,R03,Studio,122,5,1978,1
P00095,R01,Duplex,148,1,1999,1
P00096,R03,Apartment,127,5,2004,1
P00097,R02,Duplex,68,2,1976,0
P00098,R02,Detached House,278,4,2016,0
P00099,R05,Studio,45,5,1986,1
P00100,R04,Duplex,173,5,2005,1
P00101,R04,Penthouse,43,4,2010,0
P00102,R03,Apartment,205,2,1971,0
P00103,R06,Detached House,256,3,2016,0
P00104,R01,Penthouse,194,4,2022,1
P00105,R03,Duplex,185,3,2021,0
P00106,R01,Duplex,238,3,1977,1
P00107,R03,Penthouse,273,3,1991,0
P00108,R06,Duplex,246,3,1982,1
P00109,R03,Penthouse,95,1,1994,0
P00110,R06,Penthouse,175,5,2022,1
P00111,R03,Duplex,236,1,2011,0
P00112,R05,Studio,110,5,2011,1
P00113,R03,Penthouse,202,1,1992,1
P00114,R02,Penthouse,45,3,2020,0
P00115,R05,Studio,250,3,2019,1
P00116,R06,Studio,187,3,2013,0
P00117,R02,Penthouse,218,3,2013,1
P00118,R05,Apartment,238,5,2005,1
P00119,R02,Apartment,92,1,1975,0
P00120,R05,Apartment,148,5,1985,1
P00121,R05,Penthouse,246,4,2011,0
P00122,R03,Studio,79,4,1987,1
P00123,R05,Duplex,237,1,1979,1
P00124,R02,Detached House,109,1,2021,1
P00125,R01,Studio,178,2,1996,0
P00126,R01,Studio,162,2,2016,1
P00127,R03,Apartment,204,4,1985,0
P00128,R06,Detached House,240,5,1989,1
P00129,R01,Detached House,123,3,1988,0
P00130,R03,Duplex,81,4,1990,0
P00131,R05,Duplex,141,1,1993,0
P00132,R02,Duplex,186,4,1986,1
P00133,R05,Penthouse,220,1,2013,0
P00134,R02,Penthouse,220,4,1987,1
P00135,R05,Detached House,121,2,1993,1
P00136,R04,Studio,264,3,2016,0
P00137,R04,Apartment,59,2,1993,0
P00138,R02,Detached House,68,3,1970,0
P00139,R03,Apartment,45,5,1970,0
P00140,R06,Penthouse,262,5,1993,1
P00141,R01,Detached House,83,2,2005,1
P00142,R05,Apartment,184,2,2020,0
P00143,R03,Detached House,235,3,1977,0
P00144,R05,Duplex,224,4,1999,1
P00145,R04,Penthouse,267,1,1985,0
P00146,R03,Duplex,52,4,1994,1
P00147,R02,Duplex,137,5,1993,1
P00148,R04,Duplex,161,5,1986,0
P00149,R01,Detached House,207,3,1970,1
P00150,R04,Duplex,189,2,1973,1
P00151,R01,Duplex,174,2,1998,1
P00152,R04,Duplex,113,4,1982,1
P00153,R04,Detached House,65,3,1987,1
P00154,R01,Detached House,143,1,1974,1
P00155,R05,Penthouse,102,4,1972,1
P00156,R03,Duplex,173,1,1976,1
P00157,R05,Duplex,231,5,1990,1
P00158,R01,Penthouse,172,3,1978,1
P00159,R02,Apartment,179,2,1982,0
P00160,R03,Penthouse,50,1,1986,1
P00161,R02,Studio,194,1,1985,0
P00162,R02,Penthouse,145,5,1970,0
P00163,R04,Detached House,69,3,1976,0
P00164,R01,Detached House,91,5,2021,0
P00165,R05,Apartment,227,5,2006,1
P00166,R01,Detached House,260,1,1976,0
P00167,R02,Studio,161,2,1985,1
P00168,R04,Detached House,274,5,1990,1
P00169,R05,Duplex,83,3,2018,0
P00170,R02,Apartment,111,3,2017,0
P00171,R02,Penthouse,263,3,2011,1
P00172,R06,Penthouse,82,4,1975,1
P00173,R06,Duplex,198,5,1996,0
P00174,R04,Duplex,92,5,1996,0
P00175,R03,Penthouse,119,4,2004,0
P00176,R03,Studio,154,3,2015,0
P00177,R04,Studio,126,2,1987,0
P00178,R04,Penthouse,249,1,2000,1
P00179,R02,Apartment,273,4,1984,0
P00180,R01,Penthouse,160,1,1981,0
P00181,R01,Detached House,166,4,1986,1
P00182,R06,Penthouse,53,3,2009,1
P00183,R03,Studio,96,4,1993,1
P00184,R03,Detached House,49,5,2006,1
P00185,R03,Detached House,245,3,2007,1
P00186,R05,Duplex,94,3,1989,0
P00187,R01,Detached House,121,3,2021,0
P00188,R01,Apartment,242,2,1972,1
P00189,R02,Studio,211,1,2018,1
P00190,R03,Studio,189,1,1970,1
P00191,R05,Duplex,49,4,1990,0
P00192,R03,Studio,175,5,2014,1
P00193,R03,Duplex,174,1,2006,0
P00194,R06,Penthouse,116,2,1987,1
P00195,R01,Detached House,218,4,2017,1
P00196,R04,Duplex,263,4,1977,0
P00197,R04,Detached House,102,4,2006,0
P00198,R03,Detached House,119,4,1998,1
P00199,R05,Duplex,117,1,1981,1
P00200,R02,Duplex,240,2,2019,0
P00201,R06,Detached House,58,3,2011,1
P00202,R02,Studio,255,1,1970,0
P00203,R04,Duplex,226,2,1974,1
P00204,R04,Studio,156,2,1973,0
P00205,R06,Apartment,180,5,1992,1
P00206,R03,Studio,254,2,1992,0
P00207,R02,Apartment,224,5,2009,1
P00208,R01,Duplex,106,4,2006,0
P00209,R03,Apartment,52,4,1970,1
P00210,R05,Duplex,198,5,1995,1
P00211,R01,Apartment,74,5,2012,0
P00212,R06,Penthouse,61,2,2018,0
P00213,R04,Detached House,275,3,1985,0
P00214,R01,Duplex,153,3,1972,1
P00215,R02,Detached House,196,5,1978,1
P00216,R04,Studio,92,1,1988,1
P00217,R02,Apartment,64,3,1993,1
P00218,R01,Penthouse,55,2,1988,1
P00219,R04,Duplex,125,2,1974,1
P00220,R05,Duplex,40,4,1988,0
P00221,R01,Detached House,140,2,1985,0
P00222,R02,Detached House,117,4,1996,0
P00223,R02,Penthouse,166,5,1974,1
P00224,R04,Penthouse,181,4,2012,0
P00225,R05,Penthouse,114,1,1992,1
P00226,R05,Apartment,149,1,1987,0
P00227,R06,Studio,58,3,2018,1
P00228,R05,Detached House,112,3,2010,0
P00229,R02,Detached House,274,4,1977,1
P00230,R01,Duplex,277,3,1977,0
P00231,R04,Studio,156,1,1970,0
P00232,R06,Detached House,265,5,2000,0
P00233,R06,Duplex,160,5,1989,1
P00234,R02,Detached House,70,4,1990,1
P00235,R02,Penthouse,248,4,1997,0
P00236,R01,Detached House,139,5,1999,1
P00237,R01,Apartment,186,3,1970,1
P00238,R04,Penthouse,195,1,1975,1
P00239,R04,Penthouse,113,4,2012,1
P00240,R03,Duplex,216,3,2021,0
P00241,R02,Detached House,160,4,2015,1
P00242,R05,Duplex,127,4,2018,1
P00243,R03,Studio,111,3,1995,1
