transaction_id,property_id,agent_id,closing_date,closing_price
T00001,P04699,A039,2023-11-24,10050980.0
T00002,P04998,A034,2024-06-16,4373666.0
T00003,P03209,A023,2024-09-25,6991854.0
T00004,P02488,A016,2023-10-10,6001356.0
T00005,P04561,A015,2024-03-07,2516741.0
T00006,P00183,A016,2024-09-14,3423777.0
T00007,P03190,A024,2024-12-21,1633522.0
T00008,P01995,A001,2023-11-18,4085104.0
T00009,P04762,A027,2023-03-08,8647063.0
T00010,P00370,A024,2024-07-19,5839529.0
T00011,P04378,A006,2024-10-22,7632316.0
T00012,P01577,A011,2024-03-17,7754506.0
T00013,P02461,A012,2024-06-22,5789162.0
T00014,P03352,A037,2023-12-14,5437407.0
T00015,P01956,A038,2024-11-06,5219954.0
T00016,P03839,A032,2024-09-15,6892749.0
T00017,P03917,A028,2025-01-22,880661.0
T00018,P04747,A039,2024-02-27,1698524.0
T00019,P01274,A030,2024-01-01,3501219.0
T00020,P01842,A016,2023-10-04,6418493.0
T00021,P00780,A015,2023-10-31,2089073.0
T00022,P04939,A027,2024-06-01,7352869.0
T00023,P03843,A017,2023-04-21,9091867.0
T00024,P02531,A019,2024-10-05,2696420.0
T00025,P01783,A039,2023-08-17,4338185.0
T00026,P00598,A037,2024-11-18,2310954.0
T00027,P04633,A025,2023-03-24,4709679.0
T00028,P01811,A013,2023-08-25,2547580.0
T00029,P01679,A018,2024-12-16,3554911.0
T00030,P02899,A014,2024-03-10,1346848.0
T00031,P01506,A017,2025-01-30,5135692.0
T00032,P00654,A015,2024-04-16,944921.0
T00033,P02283,A018,2024-11-07,1644410.0
T00034,P03040,A020,2023-10-24,4904642.0
T00035,P00841,A026,2023-10-02,2980661.0
T00036,P02982,A036,2023-05-16,1390459.0
T00037,P01154,A022,2024-09-22,4831844.0
T00038,P03200,A009,2023-12-13,2734944.0
T00039,P00768,A008,2023-08-28,4396014.0
T00040,P02268,A027,2024-06-29,2590832.0
T00041,P00049,A040,,4833453.0
T00042,P04588,A013,2024-08-17,5758987.0
T00043,P02985,A004,2024-12-19,1407394.0
T00044,P04056,A004,2023-10-21,4470325.0
T00045,P03056,A011,2023-07-15,6013551.0
T00046,P03011,A039,2024-10-11,2703333.0
T00047,P03146,A032,2024-04-14,1968125.0
T00048,P01670,A032,2024-04-30,4126794.0
T00049,P03399,A014,2024-01-25,4918035.0
T00050,P00581,A039,2024-10-20,2789157.0
T00051,P02176,A017,2024-12-24,3453004.0
T00052,P04710,A017,2024-02-26,7162672.0
T00053,P02459,A038,2023-06-21,3974466.0
T00054,P00442,A031,2023-11-30,2564691.0
T00055,P02779,A012,2023-11-16,9576558.0
T00056,P04675,A027,2023-12-20,1781952.0
T00057,P03077,A015,2023-11-09,3270434.0
T00058,P02566,A025,2024-05-21,3050144.0
T00059,P02356,A006,2024-10-03,1696534.0
T00060,P01686,A002,2024-08-22,7916513.0
T00061,P04957,A039,2024-01-16,2322308.0
T00062,P01716,A003,2024-08-04,9013392.0
T00063,P02819,A017,2024-08-04,7354026.0
T00064,P02448,A008,2024-07-10,835252.0
T00065,P01865,A001,2024-02-01,9300654.0
T00066,P03608,A030,2024-08-16,6716040.0
T00067,P02872,A012,2023-11-16,5631718.0
T00068,P00142,A032,2024-08-17,5178080.0
T00069,P00146,A022,2023-06-22,956472.0
T00070,P03620,A026,2024-06-04,3566187.0
T00071,P00402,A027,2023-08-01,5510674.0
T00072,P02471,A008,2024-03-29,6889953.0
T00073,P02504,A019,2024-08-19,7381786.0
T00074,P03416,A032,2025-03-16,6999211.0
T00075,P00701,A010,2023-10-26,4733552.0
T00076,P00628,A005,2023-05-09,9238940.0
T00077,P04637,A017,2024-08-14,4878939.0
T00078,P00212,A036,2025-01-12,2707714.0
T00079,P01157,A013,2024-01-24,11060966.0
T00080,P00073,A016,2024-10-14,4673192.0
T00081,P00101,A006,2023-03-30,1515485.0
T00082,P04281,A030,2024-10-16,5843265.0
T00083,P00716,A014,2023-10-18,3156903.0
T00084,P04549,A007,2024-04-26,2925167.0
T00085,P01851,A005,2023-09-05,3533635.0
T00086,P01305,A013,2023-11-19,4424441.0
T00087,P02827,A009,2024-01-02,1223390.0
T00088,P03408,A020,2025-01-17,4025098.0
T00089,P04628,A018,2024-01-01,3348086.0
T00090,P04931,A020,2023-12-29,5326385.0
T00091,P01740,A015,2023-09-22,6998660.0
T00092,P04097,A004,2024-09-16,7264215.0
T00093,P00602,A032,2023-10-25,8012060.0
T00094,P04980,A022,2024-01-12,9358158.0
T00095,P02967,A008,2023-06-12,3016664.0
T00096,P04595,A004,2024-02-22,3188500.0
T00097,P03282,A038,2023-06-28,11974946.0
T00098,P04800,A037,2024-02-05,9199839.0
T00099,P04171,A008,2025-01-21,3870634.0
T00100,P00918,A017,2024-03-06,7652394.0
T00101,P00129,A024,2024-10-13,3853275.0
T00102,P03409,A018,2025-01-09,1710968.0
T00103,P03238,A034,2024-05-12,3389142.0
T00104,P04231,A024,2023-10-29,2377138.0
T00105,P02331,A011,2023-10-05,5414203.0
T00106,P02455,A032,2023-08-10,9831604.0
T00107,P03179,A035,2023-06-15,4600986.0
T00108,P03880,A003,2023-08-24,6800182.0
T00109,P04897,A035,2024-05-07,1196538.0
T00110,P02939,A029,2024-10-19,1277040.0
T00111,P01277,A037,2024-06-03,8399724.0
T00112,P03101,A037,2023-08-19,8668426.0
T00113,P02670,A002,2023-10-06,4791262.0
T00114,P04586,A018,2024-02-08,1778631.0
T00115,P04298,A003,2023-08-24,9079865.0
T00116,P00486,A001,2024-08-23,4738668.0
T00117,P04221,A037,2024-07-05,4020927.0
T00118,P01990,A010,2024-09-07,5330965.0
T00119,P00584,A003,2023-08-26,6093123.0
T00120,P00872,A038,2024-03-23,1296858.0
T00121,P01695,A017,2025-01-12,7264949.0
T00122,P02786,A005,2023-10-28,6032587.0
T00123,P00735,A011,2024-08-04,3786168.0
T00124,P02980,A001,2023-10-17,2259447.0
T00125,P02469,A028,2024-07-11,1950844.0
T00126,P01567,A038,2024-11-23,6547358.0
T00127,P03294,A016,2024-05-05,9522328.0
T00128,P03816,A035,2024-05-13,7323834.0
T00129,P01823,A014,2024-12-19,2879092.0
T00130,P02272,A019,2024-03-15,4508322.0
T00131,P02956,A009,2024-01-26,2006459.0
T00132,P04008,A001,2024-10-07,2467446.0
T00133,P02729,A007,2025-01-14,4286351.0
T00134,P03465,A024,2024-05-10,3349067.0
T00135,P03001,A004,2023-09-27,8357803.0
T00136,P03751,A033,2024-04-14,2380942.0
T00137,P01444,A037,2024-10-18,4200918.0
T00138,P01231,A012,2023-06-26,3253124.0
T00139,P00500,A011,2024-08-08,4439038.0
T00140,P03292,A007,2023-07-15,1567299.0
T00141,P01863,A017,2023-12-08,4315168.0
T00142,P02837,A037,2023-12-09,921956.0
T00143,P04446,A016,2024-07-03,4953140.0
T00144,P02295,A031,2024-03-15,3807363.0
T00145,P00766,A013,2024-03-06,7674943.0
T00146,P02664,A018,2023-06-19,8041620.0
T00147,P00972,A020,2023-04-10,7369501.0
T00148,P00671,A037,2023-09-16,7204401.0
T00149,P03467,A020,2025-02-09,7103963.0
T00150,P03447,A025,2024-02-21,2223020.0
T00151,P00866,A035,2025-03-11,5314569.0
